五十音,曲名,アーティスト名,ジャンル,楽曲使用
ウ,WISH,嵐,,ドラマ 花より男子
ウ,Wishing,レム(水瀬いのり),アニメソング,Re:ゼロから始める異世界生活
ウ,ウィーアー!,きただにひろし,アニメソング,ONE PIECE
ウ,うたかた花火,supercell,アニメソング,NARUTO
ウ,うっせぇわ,Ado,,
ウ,うまぴょい伝説,"スペシャルウィーク(和氣あず未),サイレンススズカ(高野麻里佳),トウカイテイオー(Machico)",アニメソング,ウマ娘 プリティーダービー
ウ,うまるん体操,妹S,アニメソング,干物妹！うまるちゃん
ウ,ウラオモテ・フォーチュン,佐倉千代(小澤亜李),アニメソング,月刊少女野崎くん
ウ,うるわしきひと,いきものがかり,,
ウ,宇宙戦艦ヤマト,ささきいさお,アニメソング,宇宙戦艦ヤマト
ウ,歌に形はないけれど,doriko,ボカロ,
ウ,初心LOVE,なにわ男子,,
ウ,生まれてはじめて,"神田沙也加,松たか子",アニメソング,アナと雪の女王
ウ,打上花火,DAOKO×米津玄師,アニメソング,打ち上げ花火、下から見るか？横から見るか？
ウ,裏表ラバーズ,wowaka,ボカロ,
ヴ,ァンパイア,DECO*27,ボカロ,
エ,ETERNAL BLAZE,水樹奈々,アニメソング,魔法少女リリカルなのは
エ,Everyday、カチューシャ,AKB48,,
エ,Everything,MISIA,,ドラマ やまとなでしこ
エ,M,PRINCESS PRINCESS,,
エ,YELL,いきものがかり,,
エ,え？あぁ、そう。,蝶々P,ボカロ,
エ,エフェメラをあつめて,鈴木みのり,アニメソング,本好きの下剋上
エ,エブリデイワールド,"雪ノ下雪乃(早見沙織),由比ヶ浜結衣(東山奈央)",アニメソング,やはり俺の青春ラブコメはまちがっている。
エ,エンヴィーベイビー,Kanaria,ボカロ,
エ,永遠のあくる日,Ado,,
オ,Alright!ハートキャッチプリキュア!,池田彩,アニメソング,ハートキャッチプリキュア!
オ,Always,西野カナ,,
オ,Only Human,K,,ドラマ 1リットルの涙
オ,only my railgun,fripSide,アニメソング,とある科学の超電磁砲
オ,ORION,中島美嘉,,
オ,Overfly,春奈るな,アニメソング,ソードアート・オンライン
オ,おしえて,伊集加代子,アニメソング,アルプスの少女ハイジ
オ,おじゃま虫,DECO*27,ボカロ,
オ,おじゃま虫Ⅱ,DECO*27,ボカロ,
オ,おジャ魔女カーニバル!!,MAHO堂,アニメソング,おジャ魔女どれみ
オ,オツキミリサイタル,じん,ボカロ,
オ,オトメロディー,高橋美佳子,アニメソング,おねがいマイメロディ
オ,おどるポンポコリン,B.B.クィーンズ,アニメソング,ちびまる子ちゃん
オ,おねがいダーリン,ナナホシ管弦楽団,ボカロ,
オ,オベリスク,シェリル・ノーム(May'n),アニメソング.マクロス,マクロスF
オ,オレンジ,"流田Project(釘宮理恵,堀江由衣,喜多村英梨)",アニメソング,とらドラ!
オ,お願い!シンデレラ,CINDERELLA PROJECT,アニメソング,アイドルマスター
オ,オー!リバル,ポルノグラフィティ,アニメソング,名探偵コナン
オ,乙女のポリシー,石田燿子,アニメソング,美少女戦士セーラームーン
オ,乙女のルートはひとつじゃない!,angela,アニメソング,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…
オ,女の子になりたい,まふまふ,,
オ,想い出がいっぱい,H2O,,
オ,大きな古時計,童謡,,
オ,大声ダイヤモンド,AKB48,,
オ,踊,Ado,,
カ,Calc.,ジミーサムP,ボカロ,
カ,かくしん的☆めたまるふぉ～ぜっ!,土間うまる(田中あいみ),アニメソング,干物妹！うまるちゃん
カ,かくれんぼ,優里,,
カ,カゲロウデイズ,じん,ボカロ,
カ,カタオモイ,Aimer,,
カ,カヌレ,CHiCO,,
カ,カブトムシ,aiko,,
カ,からくりピエロ,40mP,ボカロ,
カ,カラフル,ClariS,アニメソング,魔法少女まどか☆マギカ
カ,カラフル。,沢井美空,アニメソング,冴えない彼女の育てかた
カ,カントリーロード,本名陽子,アニメソング,耳をすませば
カ,可愛くなりたい,CHiCO,,
カ,火葬曲,No.D,ボカロ,
カ,怪物,YOASOBI,アニメソング,BEASTARS
カ,感電,米津玄師,,ドラマ MIU404
カ,帰りたくなったよ,いきものがかり,,
カ,輝夜の城で踊りたい,μ's,,ラブライブ！キャラクターソング
カ,限りなく灰色へ,すりぃ,ボカロ,
カ,川の流れのように,美空ひばり,,ドラマ ああわが家
カ,奏,スキマスイッチ,アニメソング,一週間フレンズ。
カ,風になる,つじあやの,アニメソング,猫の恩返し
カ,風は予告なく吹く,ワルキューレ,アニメソング.マクロス,マクロスΔ
カ,変わらないもの,奥華子,アニメソング,時をかける少女
カ,竈門炭治郎のうた,中川奈美,アニメソング,鬼滅の刃
カ,神っぽいな,ピノキオピー,ボカロ,
ガ,ガーネット,奥華子,アニメソング,時をかける少女
キ,CANDY CANDY,きゃりーぱみゅぱみゅ,,
キ,Catch the Moment,LiSA,アニメソング,ソードアート・オンライン
キ,Catch You Catch Me,日向めぐみ,アニメソング,カードキャプターさくら
キ,KING,Kanaria,ボカロ,
キ,KiRa-KiRa Sensation!,μ's,アニメソング,ラブライブ！
キ,KissHug,aiko,,
キ,KISSして,KOH+,,
キ,Q&A リサイタル!,戸松遥,アニメソング,となりの怪物くん
キ,キキワケナイ!,ワルキューレ,マクロス,マクロスΔ
キ,キセキ,GreeeeN,,
キ,きっと青春が聞こえる,μ's,アニメソング,ラブライブ！
キ,キミがいれば,伊織,アニメソング,名探偵コナン
キ,キャットフード,doriko,ボカロ,
キ,キャンディ・キャンディ,堀江美都子,アニメソング,キャンディ・キャンディ
キ,キューティーハニー,倖田來未,アニメソング,キューティーハニー
キ,きよしこの夜,クリスマスソング,,
キ,きよしのズンドコ節,氷川きよし,,
キ,キラキラ,aiko,,
キ,キラッ!満開スマイル,"島村卯月(大橋彩香),小日向美穂(津田美波),佐久間まゆ(牧野由依),櫻井桃華(照井春佳),双葉杏(五十嵐裕美)",アニメソング,アイドルマスター
キ,キリトリセン,40mP,ボカロ,
キ,気まぐれロマンティック,いきものがかり,,
キ,気分上々↑↑,mihimaru GT,アニメソング,パリピ孔明
キ,金魚花火,大塚愛,,
キ,金曜日のおはよう,HoneyWorks,ボカロ,
キ,君のこころは輝いてるかい,Aqours,アニメソング,ラブライブ！
キ,君ノ記憶,mao,アニメソング,薄桜鬼
キ,君の知らない物語,supercell,アニメソング,化物語
キ,君をのせて,井上あずみ,アニメソング,天空の城ラピュタ
キ,君色に染まる,西沢さんP,ボカロ,
キ,如月アテンション,じん,ボカロ,
キ,綺麗な花には毒がある,Yami_Q_ray,アニメソング.マクロス,マクロスΔ
ギ,ギミー! レボリューション,内田 真礼,アニメソング,俺、ツインテールになります。
ギ,ギラギラ,Ado,,
ク,CLEAR,坂本真綾,アニメソング,カードキャプターさくら
ク,Crazy Party Night ～ぱんぷきんの逆襲～,きゃりーぱみゅぱみゅ,,
ク,crossing field,LiSA,アニメソング,ソードアート・オンライン
ク,Crosswalk,鈴木みのり,アニメソング,あまんちゅ!
ク,Cry Baby,Official髭男dism,アニメソング,東京卍リベンジャーズ
ク,クムリウタ,大塚愛,,
ク,クラゲ、流れ星,大塚愛,,
ク,クリスマスソング,back number,,
ク,悔やむと書いてミライ,まふまふ,,
ク,黒毛和牛上塩タン焼680円,大塚愛,アニメソング,ブラックジャック
ク,黒毛和牛上塩タン焼735円,大塚愛,,
ク,唇の凍傷,ワルキューレ,アニメソング.マクロス,マクロスΔ
ク,楔,奥華子,,
グ,Glossy:MMM,橋本みゆき,アニメソング,咲-Saki-
グ,Grip!,Every Little Thing,アニメソング,犬夜叉
グ,群青,YOASOBI,,
グ,紅蓮華,LiSA,アニメソング,鬼滅の刃
ケ,携帯恋話,まふまふ,ボカロ,
ゲ,Get it on ～光速クライmax,"シェリル・ノーム(May'n),ランカ・リー(中島愛)",アニメソング.マクロス,マクロスF
ゲ,Get Over,Dream,アニメソング,ヒカルの碁
ゲ,ゲレンデがとけるほど恋したい,広瀬香美,,
コ,コイスルオトメ,いきものがかり,,
コ,コイノシルシ,神のみぞ知り隊,アニメソング,神のみぞ知るセカイ
コ,ココロ,トラボルタ,ボカロ,
コ,ココロ・キセキ,zyun(ジュンP),ボカロ,
コ,ココロのちず,BOYSTYLE,アニメソング,ONE PIECE
コ,こちら、幸福安心委員会です。,うたたP,ボカロ,
コ,コネクト,ClariS,アニメソング,魔法少女まどか☆マギカ
コ,この夜を止めてよ,JUJU,,
コ,コレカラ,Machico,アニメソング,りゅうおうのおしごと！
コ,香水,瑛人,,
コ,心絵,ロードオブメジャー,アニメソング,メジャー
コ,心做し,蝶々P,ボカロ,
コ,粉雪,レミオロメン,,
コ,恋,奥華子,,
コ,恋,星野源,,
コ,恋! ハレイション THE WAR,ワルキューレ,アニメソング.マクロス,マクロスΔ
コ,恋するフォーチュンクッキー,AKB48,,
コ,恋スル猫ハクジケナイ!,フェイP,ボカロ,
コ,恋になりたいAQUARIUM,Aqours,,ラブライブ！
コ,恋のシグナル Rin rin rin!,星空凛(飯田里穂),,ラブライブ！
コ,恋のつぼみ,倖田來未,,ドラマ ブスの瞳に恋してる
コ,恋はア・ラ・モード,東京ミュウミュウ,アニメソング,東京ミュウミュウ
コ,恋はスリル、ショック、サスペンス,愛内里菜,アニメソング,名探偵コナン
コ,恋は戦争,supercell,ボカロ,
コ,恋人がサンタクロース,松任谷由実,,
コ,恋人失格,コレサワ,,
ゴ,GO!GO!MANIAC,放課後ティータイム,アニメソング,けいおん!
ゴ,God Bless You,ワルキューレ,アニメソング.マクロス,マクロスΔ
ゴ,God knows…,涼宮ハルヒ(平野綾),アニメソング,涼宮ハルヒの憂鬱
ゴ,ごはんはおかず,放課後ティータイム,アニメソング,けいおん!
ゴ,五等分の気持ち,"中野家の五つ子(花澤香菜,竹達彩奈,伊藤美来,佐倉綾音,水瀬いのり)",アニメソング,五等分の花嫁
ゴ,五等分の軌跡,"中野家の五つ子(花澤香菜,竹達彩奈,伊藤美来,佐倉綾音,水瀬いのり)",アニメソング,五等分の花嫁
サ,365日の紙飛行機,AKB48,,ドラマ あさが来た
サ,366日,HY,,
サ,3月9日,レミオロメン,,ドラマ 1リットルの涙
サ,3年目の浮気,ヒロシ&キーボー,,
サ,SAKURA,いきものがかり,,
サ,SAKURAスキップ,fourfolium,アニメソング,NEW GAME!
サ,Silent Hacker,ワルキューレ,アニメソング.マクロス,マクロスΔ
サ,SUNNY DAY SONG,μ's,アニメソング,ラブライブ！
サ,さくら(独唱),森山直太朗,,
サ,さくらんぼ,大塚愛,,
サ,サザエさん,宇野ゆう子,アニメソング,サザエさん
サ,サディスティック・ラブ,Junky,ボカロ,
サ,サマータイムレコード,じん,ボカロ,
サ,さよなら 大好きな人,花*花,,
サ,サヨナラノツバサ ～ the end of triangle,"シェリル・ノーム(May'n),ランカ・リー(中島愛)",アニメソング.マクロス,マクロスF
サ,さよならメモリーズ,supercell,,
サ,サンタが街にやってくる,ドリーミング,,
サ,サンタと天使が笑う夜,DREAMS COME TRUE,,
サ,サンドリヨン,シグナルP,ボカロ,
サ,さんぽ,井上あずみ,アニメソング,となりのトトロ
サ,再会,LiSA、 Uru,,
サ,最悪な日でもあなたが好き。,芹澤優,アニメソング,異世界魔王と召喚少女の奴隷魔術
サ,最後のKiss,Kiroro,,
サ,最高の片想い,タイナカサチ,アニメソング,彩雲国物語
サ,桜,コブクロ,,
サ,桜ノ雨,halyosy,ボカロ,
サ,桜の時,aiko,,
サ,桜坂,福山 雅治,,
サ,桜色√END,苺咲べりぃ,,
サ,桜色舞うころ,中島美嘉,,
サ,三原色,YOASOBI,,
ザ,残響散歌,Aimer,アニメソング,鬼滅の刃
ザ,残酷な天使のテーゼ,高橋洋子,アニメソング,新世紀エヴァンゲリオン
シ,CITRUS,Da-iCE,,
シ,SEASONS,浜崎あゆみ,,
シ,secret base～君がくれたもの～,ZONE,アニメソング,あの日見た花の名前を僕達はまだ知らない。
シ,Secret of my heart,倉木麻衣,アニメソング,名探偵コナン
シ,SHINY DAYS,亜咲花,アニメソング,ゆるキャン
シ,SHOOT!,RO-KYU-BU!,アニメソング,ロウきゅーぶ!
シ,silky heart,堀江由衣,アニメソング,とらドラ!
シ,シス×ラブ,HoneyWorks,,
シ,シャルル,須田景凪(バルーン),ボカロ,
シ,シュガーソングとビターステップ,UNISON SQUARE GARDEN,アニメソング,血界戦線
シ,シリョクケンサ,40mP,ボカロ,
シ,シル・ヴ・プレジデント,P丸様。,ボカロ,
シ,シルシ,LiSA,アニメソング,ソードアート・オンライン
シ,シンデレラ,DECO*27,ボカロ,
シ,瞬間センチメンタル,SCANDAL,アニメソング,鋼の錬金術師
シ,少女レイ,みきとP,ボカロ,
シ,少年時代,井上 陽水,,
シ,心拍数#0822,蝶々P,ボカロ,
シ,深愛,水樹奈々,アニメソング,WHITE ALBUM
シ,深海少女,ゆうゆ,ボカロ,
シ,白い雪のプリンセスは,のぼる↑P,ボカロ,
シ,贖罪,傘村トータ,ボカロ,
ジ,17歳,mona(夏川椎菜),,
ジ,GIRAFFE BLUES,ワルキューレ,アニメソング.マクロス,マクロスΔ
ジ,Just Be Friends,Dixie Flatline,ボカロ,
ジ,ジャンキーナイトタウンオーケストラ,すりぃ,ボカロ,
ジ,じょいふる,いきものがかり,,
ジ,ジングルベル,クリスマスソング,,
ジ,呪文降臨～マジカル・フォース,Sister MAYO,,魔法戦隊マジレンジャー
ジ,時間の国のアリス,松田聖子,,
ス,SMILY,大塚愛,,
ス,Snow halation,μ's,アニメソング,ラブライブ！
ス,Star!!,CINDERELLA PROJECT,アニメソング,アイドルマスター
ス,Starry Heavens,day after tomorrow,アニメソング,テイルズオブシンフォニア
ス,START:DASH!!,μ's,アニメソング,ラブライブ！
ス,Startear,春奈るな,アニメソング,ソードアート・オンライン
ス,StartRoll,苺咲べりぃ,,
ス,Stay Alive,エミリア,アニメソング,Re:ゼロから始める異世界生活
ス,STEP,ClariS,アニメソング,ニセコイ
ス,Story,AI,,
ス,Strawberry Jam,大塚愛,,
ス,Super Driver,平野綾,アニメソング,涼宮ハルヒの憂鬱
ス,Sweets Parade,髏々宮カルタ(花澤香菜),アニメソング,妖狐×僕SS
ス,スイートマジック,Junky,ボカロ,
ス,ススメ→トゥモロウ,μ's,アニメソング,ラブライブ！
ス,ステラブリーズ,春奈るな,アニメソング,冴えない彼女の育てかた
ス,好き!雪!本気マジック,Mitchie M,ボカロ,
セ,seventeen,すこっぷ,ボカロ,
セ,セツナトリップ,Last Note.,ボカロ,
セ,センパイ。,HoneyWorks meets TrySail,,
セ,セーラースターソング,花沢加絵,アニメソング,美少女戦士セーラームーン
セ,セーラー服と機関銃,薬師丸ひろ子,,映画 セーラー服と機関銃
セ,世界に一つだけの花,SMAP,,
セ,世界は恋に落ちている,CHiCO,アニメソング,アオハライド
セ,星間飛行,ランカ・リー(中島愛),アニメソング.マクロス,マクロスF
セ,千本桜,黒うさP,ボカロ,
ゼ,ZERO!!,栗林みな実,アニメソング,はたらく魔王さま!
ゼ,前前前世,RADWIMPS,アニメソング,君の名は。
ソ,そうだよ。,ランカ・リー(中島愛),アニメソング.マクロス,マクロスF
ソ,そばかす,JUDY AND MARY,アニメソング,るろうに剣心-明治剣客浪漫譚-
ソ,それは僕たちの奇跡,μ's,アニメソング,ラブライブ！
ソ,宇宙のかけら,ワルキューレ,アニメソング.マクロス,マクロスΔ
ソ,空も飛べるはず,スピッツ,,
ソ,空色デイズ,中川 翔子,アニメソング,天元突破グレンラガン
ソ,創聖のアクエリオン,AKINO,アニメソング,創聖のアクエリオン
タ,Time goes by,Every Little Thing,,
タ,タイヨウのうた,KaoruAmane(沢尻エリカ),,
タ,タキシード・ミラージュ,"三石琴乃,富沢美智恵,久川綾,篠原恵美,深見梨加",アニメソング,美少女戦士セーラームーン
タ,ただ君に晴れ,ヨルシカ,,
タ,タッチ,岩崎良美,アニメソング,タッチ
タ,たばこ,コレサワ,,
タ,たぶん,YOASOBI,,
タ,高鳴る,藤田麻衣子,アニメソング,緋色の欠片
タ,魂のルフラン,高橋洋子,アニメソング,新世紀エヴァンゲリオン
タ,対象a,anNina,アニメソング,ひぐらしのなく頃に
タ,大正浪漫,YOASOBI,,
タ,旅立ちの日に,合唱曲,,
ダ,Dancing in the Moonlight,ワルキューレ,アニメソング.マクロス,マクロスΔ
ダ,Dancing stars on me!,μ's,アニメソング,ラブライブ！
ダ,DANZEN!ふたりはプリキュア(Ver.Max Heart),五條真由美,アニメソング,ふたりはプリキュアMaxHeart
ダ,Diamonds,PRINCESS PRINCESS,,
ダ,ダイアモンド クレバス,シェリル・ノーム(May'n),アニメソング.マクロス,マクロスF
ダ,だから僕は音楽を辞めた,ヨルシカ,,
ダ,ダダダダ天使,ナナヲアカリ,,
ダ,ダンシング・ヒーロー,荻野目洋子,,
ダ,ダーリンダンス,かいりきベア,ボカロ,
ダ,大好きだよ。,大塚愛,,
チ,CHE.R.RY,yui,,
チ,CHU-LIP,大塚愛,,
チ,チェリー,スピッツ,,
チ,チカっとチカ千花っ♡,藤原千花(小原好美),アニメソング,かぐや様は告らせたい
チ,チキチキバンバン,QUEENDOM,アニメソング,パリピ孔明
チ,チュッ! 夏パーティ,三人祭,,
チ,地球最後の告白を,kemu,ボカロ,
チ,地上の星,中島みゆき,,
ツ,つけまつける,きゃりーぱみゅぱみゅ,,
ツ,つらみ現在進行形,ワルキューレ,アニメソング.マクロス,マクロスΔ
ツ,月のワルツ,諫山実生,,
ツ,津軽海峡・冬景色,石川さゆり,,
ツ,翼,藍井エイル,アニメソング,アルスラーン戦記 風塵乱舞
ツ,蕾,コブクロ,,
テ,tears,大塚愛,,
テ,手紙～愛するあなたへ～,藤田麻衣子,,
テ,手紙～拝啓 十五の君へ～,アンジェラ・アキ,,
テ,天使にふれたよ！,放課後ティータイム,アニメソング,けいおん!
デ,Daydream cafe,Petit Rabbit's,アニメソング,ご注文はうさぎですか？
デ,Dear,19's Sound Factory,ボカロ,
デ,DEAR…again,広瀬香美,,
デ,Dearest,浜崎あゆみ,アニメソング,犬夜叉
デ,Departures ~あなたにおくるアイの歌~,EGOIST,アニメソング,ギルティクラウン
デ,DISCOTHEQUE,水樹奈々,アニメソング,ロザリオとバンパイア
デ,Diva in Abyss,Yami_Q_ray,アニメソング.マクロス,マクロスΔ
デ,出逢った頃のように,Every Little Thing,,
ト,to you.,苺咲べりぃ,,
ト,TOMORROW,岡本真夜,,
ト,Trancing Pulse,Triad Primus,アニメソング,アイドルマスター
ト,trick and treat,OSTER project,ボカロ,
ト,ときめきブローカー,P丸様。,ボカロ,
ト,となりのトトロ,井上あずみ,アニメソング,となりのトトロ
ト,トライアングラー,坂本真綾,アニメソング.マクロス,マクロスF
ト,トリセツ,西野カナ,,
ト,トリノコシティ,40mP,ボカロ,
ト,年下の男の子,キャンディーズ,,
ト,時の流れに身をまかせ,テレサ・テン,,
ド,Dokkin♢魔法つかいプリキュア!,北川理恵,アニメソング,魔法つかいプリキュア!
ド,"Don't say ""lazy""",放課後ティータイム,アニメソング,けいおん!
ド,Dream × Dream,愛内里菜,アニメソング,名探偵コナン
ド,ドライフラワー,優里,,
ド,ドラえもんのうた,山野さと子,アニメソング,ドラえもん
ド,ドリームパレード,I☆Ris,アニメソング,プリパラ
ド,ドレミファロンド,40mP,ボカロ,
ド,同担☆拒否,HoneyWorks,,
ナ,なくもんか,いきものがかり,,
ナ,なごり雪,イルカ,,
ナ,なのです☆,堀江由衣,,ひぐらしのなく頃に解 キャラクターソング
ナ,ナージャ!!,本田美奈子,アニメソング,明日のナージャ
ナ,夏の扉,松田聖子,,
ナ,夏空グラフィティ,いきものがかり,,
ナ,夏祭り,whiteberry,,
ナ,"夏色えがおで1,2,Jump!",μ's,,ラブライブ！
ナ,夏恋花火,40mP,ボカロ,
ナ,渚のシンドバッド,ピンク・レディー,,
ナ,長い間,Kiroro,,
ナ,奈落の花,島みやえい子,アニメソング,ひぐらしのなく頃に
ナ,謎,小松未歩,アニメソング,名探偵コナン
ナ,名前のない怪物,EGOIST,アニメソング,PSYCHO-PASS
ナ,涙そうそう,夏川りみ,,
ナ,涙目爆発音,ワルキューレ,アニメソング.マクロス,マクロスΔ
ニ,NewWorld!!,苺咲べりぃ,,
ニ,ニア,夏代孝明,ボカロ,
ニ,にじいろ,絢香,,
ニ,ニッポン笑顔百景,桃黒亭一門,アニメソング,じょしらく
ニ,ニュームーンに恋して,ももいろクローバーZ,アニメソング,美少女戦士セーラームーン
ニ,にんげんっていいな,"中嶋義実,ヤングフレッシュ",アニメソング,まんが日本昔ばなし
ニ,ニンジーン Loves you yeah !,ランカ・リー(中島愛),アニメソング.マクロス,マクロスF
ニ,二息歩行,DECO*27,ボカロ,
ニ,虹,菅田将暉,アニメソング,ドラえもん
ニ,虹いろ・クマクマ,ランカ・リー(中島愛),アニメソング.マクロス,マクロスF
ニ,虹が架かるまでの話,堀江由衣,アニメソング,先輩がうざい後輩の話
ネ,ね～え?,松浦亜弥,,
ネ,ねぇ,藤田麻衣子,アニメソング,緋色の欠片
ネ,ネコに風船,大塚愛,,
ネ,ねこ日記,ランカ・リー(中島愛),アニメソング.マクロス,マクロスF
ネ,猫,DISH//,,
ネ,熱情のスペクトラム,いきものがかり,アニメソング,七つの大罪
ノ,ノスタルジア,いきものがかり,,映画 時をかける少女(2010) 実写版
ノ,ノーザンクロス,シェリル・ノーム(May'n),アニメソング.マクロス,マクロスF
ノ,ノーポイッ！,Petit Rabbit's,アニメソング,ご注文はうさぎですか??
ハ,#好きなんだ,AKB48,,
ハ,HANABI,いきものがかり,アニメソング,BLEACH
ハ,HANABI,Mr.Children,,
ハ,Happiness,嵐,,
ハ,HAPPY BIRTHDAY,back number,,
ハ,Happy Days,大塚愛,,
ハ,Happy Girl,喜多村英梨,アニメソング,パパのいうことを聞きなさい!
ハ,Happy Halloween,Junky,ボカロ,
ハ,Happy Lucky Strawberry,苺咲べりぃ,,
ハ,"Hello,星を数えて","星空凛(飯田里穂),西木野真姫(Pile),小泉花陽(久保ユリカ)",アニメソング,ラブライブ！
ハ,Honey,chihiRo,アニメソング,カードキャプターさくら
ハ,Honey♥Come!!,小倉 唯,アニメソング,城下町のダンデライオン
ハ,はじめてのチュウ,あんしんパパ,アニメソング,キテレツ大百科
ハ,ハッピー・ジャムジャム,M・S・J,アニメソング,しましまとらのしまじろう
ハ,ハッピーサマーウェディング,モーニング娘。,,
ハ,ハッピーシンセサイザ,Easy Pop,ボカロ,
ハ,ハナミズキ,一青窈,,
ハ,ハム太郎とっとこうた,ハムちゃんず,アニメソング,とっとこハム太郎
ハ,ハルウタ,いきものがかり,アニメソング,名探偵コナン
ハ,ハルジオン,YOASOBI,,
ハ,ハルノヒ,あいみょん,アニメソング,クレヨンしんちゃん
